PROJECT ID,ORIGINAL SUBMISSION DATE,PROJECT NAME,WORKSPACE,PROJECT GROUP,AWARDED,BRAND,PRODUCT,AGENCY,CAMPAIGN,VENDOR,PHASE,SUBMISSION,BID NAME,BIDFILE TYPE,BID TOTAL,BID TYPE,AVERAGE BID,DIVERSITY:: WOMAN DIRECTOR,DIVERSITY:: MIINORITY DIRECTOR,DIVERSITY:: WOMAN EDITOR,DIVERSITY:: MIINORITY EDITOR,DIVERSITY:: WOMAN OWNED,DIVERSITY:: MINORITY OWNED,SPEND:: ANIMATION,SPEND:: ART DEPARTMENT LABOR,SPEND:: ART DEPARTMENT MATERIALS,SPEND:: AUDIO POST,SPEND:: BEHIND THE SCENES,SPEND:: CATERING / CRAFT SERVICE,SPEND:: COLOR GRADING,SPEND:: COVID LABOR,SPEND:: CUSTOM,SPEND:: DESIGN,SPEND:: DIRECTOR/ CREATIVE FEES,SPEND:: DO NOT USE,SPEND:: EDITORIAL GRAPHICS,SPEND:: EDITORIAL LABOR,SPEND:: EDITORIAL MISC,SPEND:: EDITORIAL OFFLINE,SPEND:: EDITORIAL PREP,SPEND:: EQUIPMENT COSTS,SPEND:: EXPENDABLES,SPEND:: FILM STOCK & DIGITAL MEDIA,SPEND:: FINISHING,SPEND:: FOREIGN PRODUCTION SERVICES,SPEND:: HAIR & MAKEUP,SPEND:: INTERACTIVE,SPEND:: LOCATION & TRAVEL EXPENSES,SPEND:: MEALS,SPEND:: MISCELLANEOUS,SPEND:: MUSIC,SPEND:: OTHER LABOR,SPEND:: PHOTO RETOUCHING,SPEND:: PRE-PRODUCTION EXPENSES,SPEND:: PRE-PRODUCTION LABOR,SPEND:: PRODUCTION COVID 19 COSTS,SPEND:: PRODUCTION STAFF,SPEND:: PRODUCTION SUSTAINABILITY,"SPEND:: PROPS, WARDROBE, ANIMALS",SPEND:: SHOOTING CREW LABOR,SPEND:: SOCIAL MEDIA,SPEND:: SPECIAL INSURANCE,SPEND:: STILL PHOTOGRAPHER FEES,SPEND:: STILL PHOTOGRAPHY PRODUCTION,SPEND:: STILLS POST PRODUCTION,SPEND:: STUDIO & LOCATIONS COMBINED,SPEND:: STUDIO RENTAL & STAGE EXPENSES,SPEND:: TALENT,SPEND:: TALENT EXPENSES,SPEND:: VFX,SPEND:: WARDROBE,Women Work Pitched,Women Work Awarded,AvgBidPrice LUT.Average Bid Price
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,Biscuit Filmworks,Film & Video Production,Biscuit Aaron Stoller Michelob v1,Biscuit_AS_Michelob Bid,Original,1258947.925,cost-plus,1424324.892,,,,,,,,,,,,,,,989837.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Film & Video Production,New Package,PB.MichelobSeltzer.Cal.Bid.v6a,Original,1589701.859,cost-plus,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Finishing,New Package,Q1078360_MICHELOB_FCB__NY_CLEANUP,Original,31200,cost-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,VFX,CRAIG,Q1078369_MICHELOB_FCB__NY_ CRAIG,Original,376750,cost-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,VFX,STOLLER,Q1078020_MICHELOB_FCB__NY_STOLLER,Original,388300,cost-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,VFX,CALMATIC,Q1078463_MICHELOB_FCB__NY_CALMATIC,Original,332200,cost-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,Ntropic,VFX,New Package,,Original,296850,cost-plus,348525,,,,,,,,,,,,,,,296850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,New Package,Bid_9259_3,Original,113990.4,cost-plus,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,EXILE Edit + Audio,,Original,90090,cost-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,Exile Edit,Editorial,New Package,EXILE Michelob Ultra Rev 2 Bid_6290.3,Original,98440,cost-plus,100840.1333,,,,,,,,,,,,,,,118300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11/13/2020 15:26,Michelob Ultra Seltzer 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Audio Post,EXILE Edit + Audio,EXILE Michelob Ultra Seltzer Rev Bid_6290.2,Original,12350,cost-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Film & Video Production,4-Day,"Michelob Bid LA+FL+UK v7a - Film, 4-day, Local UK Stills",Original,1816968.256,cost-plus,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,Pony Show Entertainment,Film & Video Production,3-Day,"Michelob Bid LA+FL+UK v7b - Film, 3-day",Original,1378361.513,cost-plus,1597664.884,,1,,,1,,,,,,,,,,1138327.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Michelob Ultra Super Bowl 2021,AE_Bid_9281_1,Original,280048.4,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,"Michelob Ultra ""Our Message To America"" RADIO",AE_Bid_9281_2,Original,15067,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Michelob Ultra Teaser Adapts 4 x :15,AE_Bid_9281_3,Original,34862.2,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Michelob SB 10 Spots,Michelob_10Spots,Original,227365,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
