PROJECT ID,ORIGINAL SUBMISSION DATE,PROJECT NAME,WORKSPACE,PROJECT GROUP,AWARDED,BRAND,PRODUCT,AGENCY,CAMPAIGN,VENDOR,PHASE,SUBMISSION,BID NAME,BIDFILE TYPE,BID TOTAL,BID TYPE,AVERAGE BID,DIVERSITY:: WOMAN DIRECTOR,DIVERSITY:: MIINORITY DIRECTOR,DIVERSITY:: WOMAN EDITOR,DIVERSITY:: MIINORITY EDITOR,DIVERSITY:: WOMAN OWNED,DIVERSITY:: MINORITY OWNED,SPEND:: ANIMATION,SPEND:: ART DEPARTMENT LABOR,SPEND:: ART DEPARTMENT MATERIALS,SPEND:: AUDIO POST,SPEND:: BEHIND THE SCENES,SPEND:: CATERING / CRAFT SERVICE,SPEND:: COLOR GRADING,SPEND:: COVID LABOR,SPEND:: CUSTOM,SPEND:: DESIGN,SPEND:: DIRECTOR/ CREATIVE FEES,SPEND:: DO NOT USE,SPEND:: EDITORIAL GRAPHICS,SPEND:: EDITORIAL LABOR,SPEND:: EDITORIAL MISC,SPEND:: EDITORIAL OFFLINE,SPEND:: EDITORIAL PREP,SPEND:: EQUIPMENT COSTS,SPEND:: EXPENDABLES,SPEND:: FILM STOCK & DIGITAL MEDIA,SPEND:: FINISHING,SPEND:: FOREIGN PRODUCTION SERVICES,SPEND:: HAIR & MAKEUP,SPEND:: INTERACTIVE,SPEND:: LOCATION & TRAVEL EXPENSES,SPEND:: MEALS,SPEND:: MISCELLANEOUS,SPEND:: MUSIC,SPEND:: OTHER LABOR,SPEND:: PHOTO RETOUCHING,SPEND:: PRE-PRODUCTION EXPENSES,SPEND:: PRE-PRODUCTION LABOR,SPEND:: PRODUCTION COVID 19 COSTS,SPEND:: PRODUCTION STAFF,SPEND:: PRODUCTION SUSTAINABILITY,"SPEND:: PROPS, WARDROBE, ANIMALS",SPEND:: SHOOTING CREW LABOR,SPEND:: SOCIAL MEDIA,SPEND:: SPECIAL INSURANCE,SPEND:: STILL PHOTOGRAPHER FEES,SPEND:: STILL PHOTOGRAPHY PRODUCTION,SPEND:: STILLS POST PRODUCTION,SPEND:: STUDIO & LOCATIONS COMBINED,SPEND:: STUDIO RENTAL & STAGE EXPENSES,SPEND:: TALENT,SPEND:: TALENT EXPENSES,SPEND:: VFX,SPEND:: WARDROBE,Women Work Pitched,Women Work Awarded,AvgBidPrice LUT.Average Bid Price
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,1,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,Petulant Pictures,Film & Video Production,Summer Fun,Petulant_SummerFun_LiveAction,Original,960207.0528,firm-bid,745866.4685,1,,,,,,,36250.5,4200,,,,,,,,240000,,,0,,0,,16550,,3000,,,,,37115,,5000,,,,25950,141212.5,,,,48000,163923.76,,,,,,,28960,0,0,,,960207.0528,960207.0528,745866.4685
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,0,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,,Film & Video Production,Summer Fun,OpenFrameworks_SummerFun_LiveAction,Original,662457.1842,firm-bid,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662457.1842,0,745866.4685
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,0,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,,Film & Video Production,Summer Fun,Club101_SummerFun_LiveAction,Original,614935.1684,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,745866.4685
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,0,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,,Editorial,Summer Fun,ToTo_SummerFun_Edit,Original,107610.4167,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,109194.1861
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,0,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,,Editorial,Summer Fun,MyrtleRow_SummerFun_Edit,Original,133998.9583,firm-bid,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,109194.1861
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,1,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,Saks Street Edit,Editorial,Summer Fun,SaksStreetEdit_SummerFun_Edit,Original,85973.18333,firm-bid,109194.1861,,,,,,1,,,,,,,,,,,,,,13200,28800,10550,10166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,109194.1861
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,0,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,,Audio Post,Audio Bid,Audio Bid,Original,14510,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21656.66667
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,1,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,My Audio Fantasy,Audio Post,My Audio Fantasy,AudioFantasybBid,Original,21040,firm-bid,21656.66667,1,,,1,,,,,,21040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040,21040,21656.66667
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,0,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,,Audio Post,"Love Language""Summer Fun""",Love124,Original,29420,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21656.66667
318,7/19/2023 19:14,Summer Fun,Alcoholic Beverages,APAC,0,Kelly Hard Cider,Kelly Summer Spritzer,Korea SMB,Q2 Summer Blitz,,Finishing,colorMaven for Summer Fun v1,ColorMaven_SummerFun_Finishing,Original,52850,firm-bid,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,37833.33333
